Loan_Goal,Cases,Ended_Cancelled_Cases,Ended_Cancelled_Pct,Median_Duration_Days
Not speficied,1065,564,52.96,23.79
Boat,201,105,52.24,17.82
Remaining debt home,842,433,51.43,29.66
Caravan / Camper,369,182,49.32,14.97
Car,9328,4359,46.73,16.95
"Other, see explanation",2985,1357,45.46,19.72
Existing loan takeover,5601,2499,44.62,21.1
Motorcycle,275,120,43.64,17.0
Home improvement,7669,3232,42.14,19.98
Extra spending limit,625,244,39.04,17.82
Tax payments,152,59,38.82,18.85
Unknown,2365,884,37.38,14.83
