From_Activity,To_Activity,Cases,Transitions,Median_Wait_Hours,P90_Wait_Hours
A_Complete,A_Cancelled,8034,8034,736.46,741.51
O_Sent (mail and online),A_Cancelled,1038,1038,736.21,741.98
A_Complete,A_Validating,18339,18339,171.65,376.32
A_Incomplete,A_Cancelled,737,737,165.47,816.93
O_Sent (mail and online),A_Validating,3160,3235,160.36,351.09
A_Complete,O_Create Offer,4135,4135,98.41,503.22
A_Incomplete,O_Accepted,4781,4781,89.92,377.05
O_Sent (mail and online),O_Create Offer,571,675,74.72,497.29
O_Returned,A_Denied,2190,2190,52.16,144.66
O_Sent (online only),A_Validating,812,834,46.55,232.89
O_Returned,W_Validate application,6230,6355,27.35,125.64
O_Returned,O_Accepted,5281,5281,26.3,123.32
O_Returned,A_Incomplete,7661,7735,25.27,122.56
A_Incomplete,A_Validating,9323,12282,24.87,160.95
A_Validating,A_Denied,1095,1095,21.17,120.68
A_Concept,A_Accepted,31501,31501,20.72,75.52
A_Validating,A_Incomplete,3552,4427,17.83,93.87
A_Validating,O_Accepted,7136,7136,5.99,67.2
A_Incomplete,O_Create Offer,1635,1704,5.04,97.0
A_Incomplete,W_Call incomplete files,1962,2053,3.16,31.93
O_Returned,A_Validating,1360,1396,2.62,116.6
A_Submitted,W_Handle leads,3476,3476,1.5,18.2
A_Validating,W_Validate application,3521,4488,0.6,66.13
A_Accepted,O_Create Offer,31504,31504,0.05,0.15
A_Incomplete,O_Returned,1157,1168,0.04,114.02
O_Cancelled,O_Create Offer,728,753,0.03,2.88
A_Submitted,A_Concept,16929,16929,0.02,0.02
O_Created,O_Create Offer,3389,3913,0.01,0.03
O_Created,O_Sent (mail and online),30905,36212,0.01,0.05
O_Created,O_Cancelled,740,760,0.01,0.14
A_Validating,O_Returned,20796,21542,0.01,0.06
A_Create Application,A_Concept,11086,11086,0.0,0.0
A_Cancelled,O_Cancelled,10270,10270,0.0,0.0
A_Denied,O_Refused,3720,3720,0.0,0.0
A_Create Application,A_Submitted,20423,20423,0.0,0.0
A_Pending,O_Cancelled,3529,3529,0.0,0.0
A_Pending,W_Validate application,3352,3352,0.0,0.0
O_Refused,W_Validate application,1550,1550,0.0,0.0
O_Refused,O_Refused,777,975,0.0,0.0
O_Accepted,A_Pending,17228,17228,0.0,0.0
O_Cancelled,O_Cancelled,3384,4429,0.0,0.0
O_Created,O_Sent (online only),1785,1920,0.0,0.03
O_Create Offer,O_Created,31509,42995,0.0,0.0
O_Sent (mail and online),A_Complete,12215,12215,0.0,0.0
O_Sent (mail and online),O_Sent (mail and online),2781,3111,0.0,0.0
O_Sent (mail and online),W_Complete application,18697,18697,0.0,0.0
W_Call incomplete files,A_Validating,2036,2135,0.0,0.0
W_Complete application,A_Complete,19032,19032,0.0,0.0
W_Handle leads,A_Concept,3493,3493,0.0,0.0
W_Validate application,A_Incomplete,8031,10790,0.0,0.0
W_Validate application,O_Cancelled,889,889,0.0,0.0
