org:resource,Completed_Events,Cases_Touched,Unique_Activities
User_1,75950,22473,6
User_3,9300,1804,19
User_49,9046,1662,19
User_10,8346,1705,19
User_29,8202,2824,22
User_5,7417,1868,19
User_28,7209,1551,19
User_27,6883,2584,22
User_123,6874,3238,9
User_30,6523,2129,21
User_68,6515,1989,22
User_18,6272,1252,19
User_42,6223,1157,18
User_75,6130,2162,22
User_61,6122,1122,19
User_121,6075,2988,11
User_118,6069,2782,11
User_46,5477,1033,19
User_87,5440,1900,21
User_113,5431,2737,11
User_4,5428,1122,19
User_37,5399,965,19
User_116,5280,2892,10
User_100,5278,2943,20
User_41,5274,1077,19
User_109,5212,2070,21
User_99,5191,1541,22
User_2,4866,1294,22
User_90,4857,2147,21
User_14,4838,1258,18
User_60,4798,900,18
User_112,4777,2405,12
User_126,4736,2151,8
User_71,4723,888,19
User_39,4714,854,19
User_16,4540,1088,19
User_48,4509,790,16
User_15,4430,994,17
User_40,4416,858,19
User_117,4402,2148,12
User_35,4350,818,19
User_51,4276,788,19
User_19,4236,746,18
User_83,4150,1301,22
User_120,4086,2031,13
User_52,4084,831,19
User_53,4046,970,21
User_36,3849,849,19
User_119,3834,1846,13
User_24,3743,779,19
User_21,3604,637,17
User_12,3601,640,17
User_17,3586,790,19
User_95,3507,933,21
User_102,3290,1393,21
User_133,3264,1611,13
User_122,3224,1609,8
User_56,3181,550,17
User_44,3148,585,18
User_32,3113,523,17
User_57,3111,540,15
User_38,3047,579,16
User_67,2996,549,19
User_7,2825,501,17
User_23,2760,666,19
User_11,2620,534,18
User_26,2591,714,18
User_31,2585,819,22
User_43,2569,611,18
User_125,2517,1207,9
User_78,2485,425,17
User_70,2425,518,19
User_131,2308,1102,8
User_45,2280,511,19
User_54,2156,500,19
User_58,2119,402,17
User_115,2013,869,10
User_13,2006,426,19
User_66,1783,356,18
User_134,1771,731,8
User_25,1746,360,18
User_80,1704,298,16
User_63,1704,322,17
User_34,1635,377,17
User_93,1621,577,22
User_69,1613,300,16
User_85,1555,337,18
User_33,1481,326,19
User_47,1441,275,18
User_104,1406,245,11
User_107,1392,603,21
User_77,1389,237,13
User_79,1378,236,16
User_96,1377,229,12
User_114,1365,778,9
User_101,1361,987,16
User_74,1275,254,15
User_84,1186,209,18
User_65,1174,192,15
User_129,1153,485,8
User_55,1042,174,16
User_62,1008,188,17
User_91,999,163,12
User_86,930,178,17
User_73,920,207,16
User_22,914,154,16
User_20,911,219,17
User_81,876,135,10
User_97,844,140,12
User_72,745,125,14
User_127,698,378,7
User_105,685,115,17
User_132,684,111,12
User_76,672,144,15
User_94,663,109,12
User_59,653,112,12
User_98,652,107,9
User_128,544,224,7
User_9,521,132,14
User_88,471,82,16
User_8,446,119,13
User_130,429,184,5
User_137,411,190,8
User_106,352,155,19
User_108,330,54,10
User_124,326,232,7
User_92,309,59,16
User_50,304,66,16
User_6,256,45,11
User_138,232,126,6
User_144,176,93,5
User_64,161,82,10
User_89,155,23,10
User_136,139,109,9
User_135,117,18,9
User_143,115,61,5
User_110,65,12,10
User_103,63,12,15
User_139,51,40,5
User_140,48,40,6
User_111,41,16,12
User_82,38,7,9
User_141,32,12,8
User_142,11,5,8
